0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
102.9875,99.2525,81.655,104.29,94.84,93.5575,99.8825,90.45,102.335,98.6375,88.56,77.1975,84.0925,81.02,97.9625,102.9925,79.1075,96.1075,98.5775,92.34,92.945,96.69,86.645,77.8475,81.0075,101.7325,87.3025,96.0825,87.92,96.0975,81.5925,94.855,98.62,89.8075,91.6975,101.1225,77.25,90.405,78.4875,84.76,97.9475,86.6775,82.31,84.175,109.255,97.32,84.81,98.615,89.17,86.6725,
86.0275,82.865,92.95,82.9,94.2125,93.5575,85.3825,94.2075,87.9,103.665,86.0325,99.8325,84.8125,106.1825,97.99,92.955,92.9675,86.6675,104.265,86.66,80.395,105.5375,98.5775,93.5575,92.315,91.6925,84.8025,88.5975,82.255,76.57,75.995,105.505,80.985,88.5725,98.57,85.44,101.13,101.75,88.5525,89.1775,87.9275,101.165,106.1675,76.605,89.745,84.1475,91.6525,91.6975,98.6,93.5875,
98.6275,98.02,87.875,87.9275,86.0525,99.2575,100.48,86.6725,77.865,92.335,87.2675,87.94,91.6875,104.24,97.99,86.02,99.885,97.9775,79.7525,81.61,97.3275,90.4475,80.375,71.5875,84.1375,97.3625,85.9775,89.1975,78.485,72.79,94.1875,90.4425,81.6375,95.4775,97.97,92.9625,82.24,82.875,95.4775,79.13,92.285,84.17,97.98,86.65,72.22,86.675,84.735,99.855,86.0325,101.76,
80.385,87.91,87.9025,98.615,103.0075,85.9975,77.88,79.135,103.6,89.165,89.82,106.755,86.0125,96.7575,84.12,90.44,75.965,68.435,80.33,78.4975,97.3525,79.7575,89.17,73.4475,88.5675,73.4375,69.6825,81.6175,85.4,95.4425,97.9825,80.415,74.095,92.9325,85.41,90.4425,106.15,79.74,89.16,93.5775,74.1025,102.3725,86.6575,103.0375,69.07,95.46,91.69,82.255,94.8125,87.9175,
80.3925,90.44,87.9175,70.305,86.03,97.975,87.295,74.7125,77.2075,88.5325,82.2525,86.63,87.91,93.6075,74.6925,88.5125,113.0875,72.1675,92.2925,79.7325,104.9025,81.02,84.095,81.5925,83.5225,99.8725,86.7,74.72,74.745,85.3975,85.4,94.21,86.0075,82.8375,82.8725,80.9825,96.705,97.9375,74.07,100.4425,90.41,70.325,99.875,89.79,94.835,91.0325,78.4875,96.6975,74.05,91.665,
81.6375,76.625,103.005,97.995,85.4075,79.705,87.935,85.3725,84.1325,87.275,96.7175,82.9225,76.6375,114.33,91.0375,104.9175,94.215,104.93,84.74,71.55,79.7125,103.005,76.595,64.6625,90.425,97.3975,87.2825,86.645,95.4975,91.095,82.85,100.495,100.4525,89.7725,96.76,75.36,87.305,78.445,82.285,85.42,91.055,94.8125,87.33,89.15,93.585,85.99,87.285,89.795,96.6875,80.38,
87.9275,84.15,84.14,96.74,86.68,82.2925,87.9275,88.55,112.48,84.1475,86.0725,68.4,89.78,74.095,101.74,78.4925,83.5075,82.255,82.8825,76.58,99.8625,86.06,90.4725,98.61,98.5875,88.565,88.5375,90.43,74.0775,86.0375,83.51,97.3775,82.8625,93.6025,91.075,81.6375,79.0975,77.25,91.06,88.595,90.435,91.0575,84.755,98.65,96.105,80.99,94.83,84.755,98.575,62.795,
94.85,81.6475,77.235,84.7725,99.265,99.2625,85.39,94.2175,94.18,77.1775,84.7675,99.2425,86.0325,84.77,94.1875,91.7075,80.34,99.8875,111.195,80.99,86.6725,89.2275,91.7,78.4425,100.4825,100.5225,92.3325,88.525,78.4825,93.585,92.9575,96.0775,99.855,89.1725,103.6075,89.7725,86.03,99.215,80.975,82.8625,94.85,72.805,79.7425,70.925,101.735,97.325,83.5125,96.6975,86.6575,92.9725,
92.33,84.815,87.275,86.045,67.175,88.5375,82.265,92.3225,96.0925,85.3475,91.715,87.325,87.93,82.26,92.98,74.685,83.54,92.93,94.1775,75.36,90.4575,96.12,93.5925,99.865,84.1275,94.215,85.9875,87.9625,85.415,91.0675,96.08,87.9325,86.65,81.6125,69.0925,86.65,83.505,78.4475,97.9675,86.0375,104.2775,79.135,98.615,80.99,97.3375,75.975,100.555,91.0925,89.1775,87.3075,
92.2875,68.39,91.0375,91.705,93.565,102.3575,101.7475,80.35,104.8875,86.0575,92.2975,89.805,76.61,81.6625,79.7425,80.3275,88.5375,92.3175,82.245,72.845,91.69,103.0125,99.845,86.0175,84.1425,94.81,100.4925,94.22,95.4775,87.2975,108.72,98.6325,90.4425,80.3875,89.1725,89.7775,71.005,90.435,87.92,75.9875,79.735,92.935,97.995,96.725,89.22,82.855,82.2475,101.1075,86.0575,94.835,
