0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
5639,2008,2130,2506,2127,2314,1742,1647,1893,2013,1900,2025,1830,1811,2231,2005,1668,1698,1674,1805,1696,1664,1586,1796,2036,1936,1689,1651,1699,2306,2148,1749,1698,1747,1698,1700,2073,1908,1751,1768,1761,1747,1766,1718,1763,1759,2098,1827,1725,1707,
1302,1773,1724,1677,1720,1737,1717,1799,1908,1865,1739,2177,2132,1933,2096,2065,2235,2004,1840,1766,1729,1730,1888,1723,1693,1681,1714,1720,1683,1718,1717,1801,1723,1794,1866,1920,1913,1730,1683,1683,1718,1781,1712,1965,2112,2127,1775,1654,1752,1683,
1359,1706,1671,1639,1654,1621,1657,1688,1668,1697,1734,1682,1640,1684,1665,1668,1617,1805,1917,1677,2273,4662,3174,4032,3103,4299,2822,2688,2900,2745,1962,2463,2112,1997,4305,3218,2291,1877,1995,1811,2019,1697,1681,1773,1824,1699,1740,1732,1682,1768,
1264,1672,1610,1764,1637,1717,1685,1775,1712,1716,1905,2067,1840,1679,1762,1813,1669,1696,1704,1723,1697,1707,1653,1749,1658,1787,1876,2256,1726,1849,1720,2028,1919,2002,1714,1914,1990,1845,2359,2055,2122,1705,1702,1668,1735,1690,1707,1685,1704,1782,
1339,1661,1657,1625,1643,1707,1592,1727,1691,1659,1648,1709,1670,1710,1641,1710,1657,1708,1724,1678,1665,1652,1654,1681,1612,1709,1652,1686,1669,1617,1684,1619,1709,1656,1699,1614,1669,1693,1634,1602,1653,1629,1685,1669,1684,1648,1668,1632,1801,1853,
1685,2077,2569,2070,2099,2101,2024,1642,1645,1677,1594,1685,1652,1557,1654,1653,1628,1613,1774,2197,2301,1785,1720,1701,1720,1712,1681,1721,1672,1714,1749,1740,1635,1748,1925,1644,1592,1649,1734,1670,1670,1674,1681,1689,1740,1718,1713,1689,1732,1667,
1416,1689,1667,1704,1739,1668,1738,1750,1691,1655,1680,1652,1706,1678,1621,1719,1704,1696,1651,1778,1636,1720,1922,1741,1620,1700,1710,1724,1651,1750,1678,1676,1637,1681,1642,1649,1720,1747,1689,1686,1708,1677,1702,1670,1719,1706,1634,1676,1736,1690,
1279,1663,1693,1657,1694,1674,1717,1697,1636,1692,1602,1705,1679,1696,1687,1720,1657,1641,2088,1723,1659,1840,1695,1647,1829,2173,1848,1887,2104,1971,2000,1912,4224,3298,2007,2182,2406,1805,1702,3216,3246,4956,2276,1947,2438,1854,1898,2265,2237,1976,
1729,2289,2408,1979,2408,2205,2241,2387,2485,1953,2416,1723,1841,2113,2470,1792,1788,1965,1754,4570,2679,2002,1739,3780,3454,2257,1790,1577,4462,2777,2258,2126,2594,2687,2463,2731,2034,2036,1932,2320,2210,1811,1649,2705,2345,2344,2486,1924,1804,2572,
1923,2077,2347,2514,2871,2763,2613,2493,2140,1723,1781,1916,2035,2535,2296,1950,1939,1905,2475,2128,1885,3589,2685,2894,3050,2506,2398,2452,2366,2590,2625,2537,2283,2400,2309,2445,2423,2468,2533,2455,2541,2257,2397,2245,2335,2505,2498,2376,2454,2421,
