0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
94.8775,113.715,176.0675,156.6025,164.7425,157.1975,193.6825,183.59,182.3425,167.88,187.9875,164.0975,142.705,181.0975,180.425,172.9225,177.305,163.485,179.815,184.87,174.8275,167.24,191.15,169.7725,156.53,176.69,182.335,169.14,171.015,166.035,173.51,179.8125,175.4375,184.87,145.2825,171.025,187.37,179.835,176.72,169.755,162.8425,172.8925,184.875,181.73,169.775,185.5125,160.3475,174.1925,171.035,179.22,
96.1125,160.3275,177.9025,174.1725,187.415,172.8775,181.055,181.0625,167.24,174.1625,187.395,167.2325,176.6625,176.64,181.065,177.285,179.8375,189.265,180.45,151.5275,172.915,164.11,169.115,179.81,159.055,160.3425,175.415,164.7225,173.52,164.7225,163.4575,157.21,172.285,162.2325,170.3725,180.44,167.865,171.655,162.8625,164.7125,151.5275,169.76,170.385,164.745,161.5875,187.3625,170.3775,177.9425,175.3825,163.475,
83.505,60.195,166.0,171.6725,182.3325,167.215,172.88,181.0475,169.135,168.5175,167.8975,171.65,192.3925,154.6525,166.0,169.78,155.2975,152.15,184.23,172.915,166.6025,192.4275,182.36,152.135,163.44,174.8,182.32,171.665,184.23,168.4975,186.715,163.4675,162.825,175.38,174.1575,184.855,171.6225,181.695,179.8225,166.6125,167.885,165.36,167.8425,188.6325,166.6275,164.095,176.6775,155.9225,168.5275,187.985,
108.675,115.0025,175.3875,164.7225,155.9325,164.7275,183.5775,176.695,170.405,156.57,191.7725,178.5825,188.0,167.8925,162.8375,193.6625,172.9025,169.1475,174.7775,187.3525,165.3375,154.6825,164.72,174.7675,168.4725,179.8225,174.1525,160.9525,188.65,165.99,161.605,175.435,173.57,165.335,175.4225,194.9225,167.8725,160.9575,172.9275,172.2675,177.9325,169.1525,171.6525,163.465,182.965,182.3475,179.8175,170.4275,184.225,170.9975,
84.1075,106.1575,157.1425,159.7325,159.0575,172.8875,172.2625,170.405,181.69,167.89,188.62,165.9925,168.5025,157.1975,172.2675,172.28,176.0425,184.8525,173.5275,181.075,163.4375,147.14,162.855,192.3925,172.885,172.25,184.855,167.2575,195.57,177.9275,177.9175,185.4975,176.0625,167.25,169.735,162.2,182.9525,176.65,167.8625,162.8525,161.6075,179.8,172.9075,159.6775,166.6275,179.1725,174.7825,162.865,167.875,188.6575,
99.875,116.275,160.315,169.74,167.8475,164.1,171.02,175.435,160.33,167.2625,155.95,160.3075,179.83,159.0575,183.57,167.895,189.2625,164.725,183.58,187.37,151.5225,179.16,160.96,172.265,179.83,169.085,175.41,162.8325,162.2275,179.1825,165.3375,191.765,177.3,175.43,169.13,175.395,160.945,162.1875,179.8375,156.5625,162.22,171.66,169.7425,170.3775,169.785,179.81,163.4725,150.2975,159.07,177.9525,
105.54,112.5025,135.76,177.305,74.66,66.5125,62.74,57.695,69.65,72.125,70.2525,62.7175,69.015,63.3575,66.4875,67.1075,65.235,62.1075,67.1425,66.49,52.04,66.4625,70.895,61.4625,66.5,55.8475,53.3275,60.225,63.365,63.355,56.4775,70.275,64.6125,63.35,52.0675,60.8425,60.85,58.96,53.3125,60.8675,58.35,64.64,61.47,70.2575,64.005,62.7575,62.7425,60.845,69.6225,71.515,
87.9025,143.9075,149.625,66.52,62.1525,77.1825,56.49,62.7675,65.92,62.135,61.5275,65.305,62.15,57.7325,65.9,62.1575,79.6925,70.2425,60.885,67.14,63.39,62.7625,65.3075,64.615,64.635,58.3675,57.09,59.015,69.6525,65.2575,55.8775,64.6325,60.23,63.9975,58.3525,70.925,59.5775,62.165,57.1125,60.2225,68.405,55.85,58.9925,71.5325,65.855,64.6,67.175,62.765,67.75,58.97,
99.835,98.0025,156.555,62.7575,72.1875,70.2725,72.7725,64.615,79.03,68.3675,67.11,70.26,67.7525,69.635,67.115,67.76,62.7725,69.645,64.025,67.765,65.8975,58.94,69.655,64.64,64.635,62.115,63.37,65.91,55.2375,65.895,62.7575,64.02,64.6175,64.0425,71.5,59.58,63.3775,57.7275,72.17,57.125,72.145,63.3475,60.8475,65.875,76.575,63.995,60.8875,67.145,65.2675,62.74,
92.945,128.855,138.935,40.18,51.475,44.5725,38.9325,40.205,47.07,37.635,51.4875,42.69,36.4075,48.31,53.35,47.0775,42.06,55.86,45.8325,47.0475,44.53,40.83,43.9275,47.7,47.1025,53.385,52.1175,51.4925,45.8075,37.6675,47.07,38.9525,52.1125,38.33,39.585,50.2175,45.205,38.9225,52.73,32.66,42.0875,47.6975,43.9525,36.38,47.0575,47.7025,42.705,44.56,46.425,35.8325,
