0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
3435,1902,2181,8773,10970,12806,15232,12232,14602,10857,6491,6056,11861,17278,12718,11106,11193,13688,10355,11026,19123,5430,5666,4933,4126,4740,4807,4906,4221,4003,4082,3953,4834,3980,4500,4800,4250,4045,4807,4143,4101,4154,4160,4696,4076,4168,4095,4124,4614,4314,
939,1693,2463,3307,4248,4710,4225,4230,4028,3983,4002,4094,4148,4515,4561,3961,4031,4280,5211,4054,4163,3966,3967,3978,4055,4091,3962,3920,3899,4394,5509,8929,9537,7051,7355,5459,4992,8921,4856,4596,4215,4181,4144,4058,4029,3958,4134,4017,4145,4441,
877,1608,2016,2755,3401,4085,4058,4087,3998,4414,4577,4422,4607,4457,4658,5296,4687,3954,4122,4044,4167,3990,3929,3905,4074,3914,4013,3923,3951,3981,3910,3935,3980,4039,3986,3884,3957,4032,3935,3855,3906,3963,4002,4013,4715,5673,5116,4953,3998,3830,
728,1289,1948,2570,3231,3819,5471,4165,4082,4001,4080,4135,3981,4328,3866,4210,4023,3978,4075,4126,4110,4024,4136,4014,4217,3988,4012,3929,4098,3966,4064,4512,3959,4093,3960,4059,3993,3944,4162,4058,4057,3959,3993,3967,4060,4008,3910,4106,3989,3975,
686,1415,1983,2721,3337,4290,4296,4387,3998,4764,4857,4672,7968,5877,5344,4144,10427,5760,5454,5241,5131,5759,5668,5389,5843,5070,4840,5566,4550,6920,5817,6667,6502,4206,7886,5545,6611,5723,4932,5421,4214,6261,5702,5129,5848,6245,7173,5940,4568,4564,
1045,2068,2775,3149,3791,5849,7220,7383,6021,5993,6202,5833,5983,6177,6057,5904,5757,5884,5925,5997,12389,7825,11783,14623,13975,12138,12415,12046,12498,12282,13757,12359,12540,11960,12269,11868,12191,12876,12205,11835,12050,12249,12799,12822,12617,12163,12338,11931,12812,12228,
2054,4085,6041,8411,10954,12403,13649,11996,11901,11671,11991,12240,11622,12950,14342,12328,12210,12179,11847,12118,12625,12004,12094,13332,11931,12199,9817,10031,12992,5633,3893,13850,12567,12060,13085,12113,12352,12163,12173,12037,12402,12975,11509,12228,13475,12705,12529,12824,13128,13926,
2013,4284,6409,7992,10947,13367,11697,12601,12815,12057,12242,11826,12442,12687,12383,12150,13936,12079,13162,13194,12118,13021,11749,13932,13582,12526,11931,12819,11824,13015,12372,12565,13919,11734,12067,12373,11927,12232,12214,12490,14105,12966,13469,12195,12803,11806,12742,11942,12195,11804,
2031,4257,6686,7718,11092,12284,12065,12073,9983,8797,11303,10390,12821,10826,5868,4989,11552,12081,12500,12960,14427,12621,13591,11874,10015,12177,8164,6367,12880,8338,9726,9359,12595,15308,12594,13825,15085,12723,14195,14813,14638,13429,13144,14488,14862,12487,12639,16022,14645,15715,
2543,4767,7199,7526,12904,13178,13635,12260,8885,8995,8728,9032,8885,8977,8988,9168,8907,8657,8881,9011,8820,7781,8784,9011,9018,9020,8933,9687,8372,8949,8966,8851,8842,8910,8859,9605,9137,8958,8876,8952,8889,8424,9001,8996,8799,8880,8872,9353,9061,9386,
