0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
3707,2182,1787,1937,1746,1732,1696,1704,1670,1685,1686,1762,1782,1833,1924,2113,2243,2652,2464,1964,1813,1794,1768,1712,1845,1795,1763,1756,1752,1742,1713,1701,1737,1772,1736,1709,1726,1737,1745,1708,1786,1809,1775,2060,1894,2119,1974,2313,2655,2220,
1684,2892,2888,4811,3459,3122,3289,3250,3066,3285,2986,3088,3134,3210,3287,3064,2914,3098,2849,3057,3096,2918,3149,3108,2804,2778,2563,3016,2724,2940,3518,3003,2983,2830,2946,2906,3131,3023,2933,3260,3034,2859,3045,2932,3579,2977,3127,3107,3010,2837,
2487,3118,2970,3270,3223,4266,3124,2952,2901,3225,2976,1990,1950,1935,1900,2018,1873,1909,1762,1742,1822,1993,1979,1929,1897,2048,1916,1889,1837,1912,1914,1984,1827,1728,1620,1715,1650,1637,1673,5732,5446,4700,3850,3490,2377,2459,2575,2495,2443,2412,
1668,2181,2214,2258,2185,1652,1789,1689,1848,1989,1851,1751,1827,1742,1721,1778,5765,5498,3309,2534,2632,2697,2485,2616,2638,2576,2223,2233,2033,1826,1815,2093,1804,1704,1689,1720,1678,1714,1847,1751,1686,1814,1800,1734,1856,1720,1848,2048,4147,4522,
3306,2912,2049,2179,2148,2245,2165,2194,2121,1991,2063,1831,1878,1718,1687,1717,1771,1725,1830,1720,1705,1787,1848,1686,1775,1878,2138,1850,1785,1734,1814,1842,1751,1753,1859,1722,1773,1727,1668,1774,1749,2523,2125,1973,2038,2162,1976,2824,2041,2057,
1427,1887,1867,1935,1973,2050,2008,1971,2033,2139,2057,2040,2061,1994,2267,2294,2070,1987,1904,1861,2033,2093,1882,1983,2094,1894,1950,2438,2520,2376,2551,4000,3953,2260,2027,1977,1925,1875,1971,2136,3123,6104,4650,4044,2442,2636,2503,2532,2446,1666,
1329,1669,1782,1668,1685,1653,1759,1701,1686,1715,1759,1674,2073,2646,4110,1947,1918,1822,2034,1992,1892,1995,2009,1877,1894,1957,1916,1916,1864,1777,1942,1887,1975,2050,1979,1981,1815,1834,1871,1923,1823,1752,1828,2018,1761,2197,1964,1987,1915,3543,
2667,3573,3603,3164,3428,3317,3023,1842,1864,1921,1957,1906,1867,1895,1849,1787,5712,5485,3341,2005,1702,1689,1643,1750,1670,2138,1885,1654,1657,1610,1676,1668,1657,1657,1631,1631,1614,1602,1652,1583,1704,1604,1664,1607,1612,1731,1687,1658,1625,4551,
4495,5248,3136,2667,2905,2873,2658,2070,1938,1960,1950,2036,2113,2287,1547,1597,1614,1620,5685,4122,2782,2292,2070,1759,1797,1823,1768,1548,1607,1584,1627,1617,1674,1609,1611,1753,1645,1685,1739,1695,1661,1572,1817,1827,1829,4122,4566,2584,2099,2012,
1317,1624,1789,1654,1685,1685,1783,1837,1857,1653,2461,2819,2757,2701,2854,2898,2818,2492,2491,1885,1916,1768,1701,1623,1667,1675,1647,1720,1681,1588,1597,1661,1587,1904,1731,1596,3992,5159,2988,2320,1962,1783,1725,1718,1708,2503,1771,1815,1730,1690,
